train_lr,train_ExactMatchRatio,train_MAP,train_AUC,train_loss,epoch,n_parameters,test_loss,test_ExactMatchRatio,test_MAP,test_AUC
0.00019999999999999917,0.7775371287128713,,,0.66427345814878,0,30077460,,,,
0.00019999999999999917,0.9788572607260726,,,0.06976774620221123,1,30077460,,,,
0.00019999999999999917,0.9859220297029703,,,0.042325673952987634,2,30077460,,,,
0.00019999999999999917,0.9895833333333334,,,0.032955820033442586,3,30077460,1.1779853495720185,0.883443163882763,,
0.00019999999999999917,0.9942244224422442,,,0.022424413466417572,4,30077460,,,,
0.00019999999999999917,0.9938634488448845,,,0.02195639072092505,5,30077460,,,,
0.00019999999999999917,0.9956683168316832,,,0.019979239709860406,6,30077460,,,,
0.00019999999999999917,0.9959777227722773,,,0.017347645107875235,7,30077460,0.009847585122578925,0.9983525535420099,,
0.00019999999999999917,0.9959777227722773,,,0.017255863405657677,8,30077460,,,,
0.00019999999999999917,0.9955651815181518,,,0.018460077850183908,9,30077460,,,,
0.00019999999999999917,0.9951010726072608,,,0.020481774808497305,10,30077460,,,,
0.00019999999999999917,0.9969059405940595,,,0.014184869644580404,11,30077460,0.00726270508302581,0.999176276771005,,
0.00019999999999999917,0.9970090759075908,,,0.013395001457046429,12,30077460,,,,
0.00019999999999999917,0.9980404290429042,,,0.009064506841357695,13,30077460,,,,
0.00019999999999999917,0.9977310231023102,,,0.00973466935536758,14,30077460,,,,
0.00019999999999999917,0.9959777227722773,,,0.016579402017194794,15,30077460,0.0040276354998061495,0.9997940691927513,,
0.00019999999999999917,0.9971122112211221,,,0.01139793810713356,16,30077460,,,,
0.00019999999999999917,0.9977310231023102,,,0.010136765988873076,17,30077460,,,,
0.00019999999999999917,0.996493399339934,,,0.015253932893807455,18,30077460,,,,
0.00019999999999999917,0.9978857260726073,,,0.009064469354658291,19,30077460,0.004623337869385355,0.999176276771005,,
